Customer ID,recency,frequency,monetary,segment
12346.0,166,11,372.86,cant_loose
12347.0,4,2,1323.32,potential_loyalists
12348.0,75,1,222.16,hibernating
12349.0,44,3,2671.1400000000003,need_attention
12351.0,12,1,300.93,new_customers
12352.0,12,2,343.79999999999995,potential_loyalists
12353.0,45,1,317.75999999999993,about_to_sleep
12355.0,204,1,488.21,hibernating
12356.0,17,3,3562.2499999999995,potential_loyalists
12357.0,25,2,12079.990000000002,potential_loyalists
12358.0,12,3,2719.01,potential_loyalists
12359.0,62,6,2563.36,loyal_customers
12360.0,16,5,1590.83,champions
12361.0,99,3,321.35,at_risk
12362.0,375,1,130.0,hibernating
12366.0,270,1,500.24,hibernating
12368.0,265,1,917.6999999999999,hibernating
12369.0,50,3,1791.1499999999999,need_attention
12370.0,261,3,774.62,at_risk
12371.0,46,3,2179.42,need_attention
12373.0,261,2,763.0500000000001,hibernating
12374.0,58,3,2246.29,need_attention
12376.0,26,2,503.15000000000003,potential_loyalists
12377.0,18,2,1798.2,potential_loyalists
12378.0,199,1,1407.7,hibernating
12379.0,59,2,767.98,about_to_sleep
12380.0,102,7,6951.49,cant_loose
12385.0,16,1,1938.3999999999999,new_customers
12386.0,3,1,258.9,new_customers
12387.0,52,1,143.94,about_to_sleep
12388.0,82,2,1120.45,hibernating
12389.0,39,3,1433.33,need_attention
12391.0,101,5,2312.5299999999997,at_risk
12392.0,228,1,234.75000000000003,hibernating
12393.0,19,2,816.8500000000001,potential_loyalists
12395.0,8,4,2048.6400000000003,champions
12396.0,311,1,931.4300000000001,hibernating
12399.0,22,3,853.65,potential_loyalists
12400.0,51,1,205.25,about_to_sleep
12402.0,29,5,1031.3000000000002,loyal_customers
12403.0,158,1,591.6600000000001,hibernating
12404.0,319,1,63.24,hibernating
12406.0,36,3,2975.0599999999995,potential_loyalists
12408.0,22,3,1452.2199999999998,potential_loyalists
12409.0,57,4,12346.619999999999,loyal_customers
12410.0,139,1,320.38,hibernating
12411.0,46,1,346.9,about_to_sleep
12412.0,39,3,1370.0500000000002,need_attention
12413.0,39,1,241.35,about_to_sleep
12414.0,100,3,390.0,at_risk
12415.0,12,7,19543.84,champions
12416.0,293,1,202.56,hibernating
12417.0,47,11,3167.81,loyal_customers
12418.0,50,3,1352.62,need_attention
12419.0,22,2,503.01,potential_loyalists
12421.0,52,2,291.56,about_to_sleep
12422.0,31,14,4428.24,loyal_customers
12423.0,24,2,763.08,potential_loyalists
12424.0,59,2,1579.0700000000006,about_to_sleep
12425.0,85,1,964.2099999999999,hibernating
12426.0,299,1,762.4800000000002,hibernating
12427.0,8,1,303.5,new_customers
12429.0,2,5,3735.5099999999998,champions
12431.0,10,13,4370.52,champions
12433.0,3,5,7205.389999999999,champions
12434.0,18,1,297.29,promising
12435.0,33,4,6096.040000000001,loyal_customers
12437.0,32,21,7731.99,loyal_customers
12439.0,319,2,1158.18,hibernating
12440.0,99,2,859.1999999999999,hibernating
12441.0,3,1,173.55,new_customers
12443.0,369,1,485.31,hibernating
12445.0,57,1,301.58000000000004,about_to_sleep
12449.0,47,2,768.6,about_to_sleep
12450.0,36,3,490.32,potential_loyalists
12451.0,100,3,3634.3599999999997,at_risk
12454.0,32,4,13151.439999999999,loyal_customers
12455.0,82,4,3413.09,at_risk
12457.0,72,1,632.68,about_to_sleep
12458.0,64,2,830.09,about_to_sleep
12459.0,242,1,454.3599999999999,hibernating
12460.0,93,1,326.65,hibernating
12466.0,319,1,56.73,hibernating
12467.0,60,1,132.8,about_to_sleep
12468.0,163,3,2941.2,at_risk
12469.0,159,2,3070.54,hibernating
12470.0,326,1,211.95,hibernating
12471.0,11,49,20139.739999999998,champions
12472.0,6,13,11308.48,champions
12474.0,15,13,5048.66,champions
12475.0,46,1,426.26,about_to_sleep
12476.0,33,12,7298.99,loyal_customers
12477.0,36,3,7056.629999999999,potential_loyalists
12480.0,36,3,2183.2200000000003,potential_loyalists
12481.0,2,6,6765.07,champions
12482.0,213,29,23691.4,cant_loose
12483.0,15,11,2635.6000000000004,champions
12484.0,120,6,1828.4299999999998,at_risk
12485.0,166,1,708.1000000000001,hibernating
12486.0,68,1,1037.2800000000002,about_to_sleep
12487.0,367,1,285.29999999999995,hibernating
12490.0,15,11,4405.709999999999,champions
12492.0,40,1,452.00000000000006,about_to_sleep
12494.0,2,3,626.77,potential_loyalists
12495.0,277,1,357.4,hibernating
12496.0,257,2,54.09,hibernating
12497.0,37,2,5205.400000000001,potential_loyalists
12499.0,197,1,393.71999999999997,hibernating
12500.0,72,8,1697.39,loyal_customers
12503.0,221,1,1126.0,hibernating
12504.0,54,2,297.00000000000006,about_to_sleep
12505.0,45,1,955.1999999999999,about_to_sleep
12507.0,221,1,539.25,hibernating
12510.0,96,7,4195.450000000001,cant_loose
12511.0,65,1,3084.0200000000004,about_to_sleep
12514.0,278,1,580.0799999999999,hibernating
12516.0,67,2,1336.56,about_to_sleep
12519.0,113,1,385.7,hibernating
12523.0,11,12,2582.38,champions
12524.0,25,9,6640.389999999999,loyal_customers
12525.0,135,3,973.7300000000001,at_risk
12527.0,131,2,386.8,hibernating
